duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,RAW,flight_2026-07-01-14-00-00.bag,raw_flight_3,38.71,58.71,20.0,Maximum absolute pitch angle,7.513315025127796,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-14-00-00.bag,raw_flight_3,38.71,58.71,20.0,Maximum absolute yaw excursion,51.94057101516061,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-14-00-00.bag,raw_flight_3,38.71,58.71,20.0,Yaw range,98.1419689648393,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Peak horizontal velocity,1.1758235454182069,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,RMS horizontal velocity,0.7516360460771936,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Peak absolute X velocity,0.9103250677944352,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Peak absolute Y velocity,0.9393668624330154,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Maximum absolute pitch rate,0.7705716913313594,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,P99 absolute pitch rate,0.46182370742458095,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,P99 absolute yaw rate,73.35954788733268,degrees/s,1649,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Minimum roll angle,-3.0622937848873875,degrees,2393,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Maximum roll angle,6.270974958333223,degrees,2393,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Peak absolute roll angle,6.270974958333223,degrees,2393,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Minimum relative pitch angle,-6.741535469925311,degrees,2393,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Maximum relative pitch angle,8.586156370105508,degrees,2393,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Maximum absolute pitch angle,8.72160397797596,degrees,2393,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Maximum absolute yaw excursion,71.14821036194347,degrees,2393,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-14-01-56.bag,raw_flight_4,32.82,52.82,20.0,Yaw range,106.06127376688384,degrees,2393,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
