duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Maximum roll angle,11.683591796690235,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Peak absolute roll angle,11.683591796690235,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Minimum relative pitch angle,-7.8214267427993365,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Maximum relative pitch angle,5.746720794380052,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Maximum absolute pitch angle,7.363188511901429,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Maximum absolute yaw excursion,5.923959231420383,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Yaw range,8.452807110987072,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Median horizontal velocity,0.26905069428181616,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,P95 horizontal velocity,0.6207619654185353,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-15-52.bag,raw_flight_2,33.27,53.27,20.0,Percentage of time with horizontal velocity below 0.1 m/s,4.0,%,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Peak horizontal velocity,0.9495355841765204,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,RMS horizontal velocity,0.3789091348340851,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Peak absolute X velocity,0.9034818565792513,m/s,2397,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Peak absolute Y velocity,0.7932463562602443,m/s,2397,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Maximum absolute pitch rate,27.627384219144236,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,P99 absolute pitch rate,2.8131637025591143,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,P99 absolute yaw rate,534.0102786635387,degrees/s,1753,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Minimum roll angle,-173.33485506958397,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Maximum roll angle,10.889128877388597,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Peak absolute roll angle,173.33485506958397,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Minimum relative pitch angle,-8.761258790206972,degrees,2397,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Maximum relative pitch angle,58.56201661443682,degrees,2397,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Maximum absolute pitch angle,58.53032640927791,degrees,2397,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Maximum absolute yaw excursion,48.461526527241276,degrees,2397,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Yaw range,54.69871724565143,degrees,2397,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Median horizontal velocity,0.34688870909989233,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,P95 horizontal velocity,0.5791322489896508,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-18-56.bag,raw_flight_3,38.22,58.22,20.0,Percentage of time with horizontal velocity below 0.1 m/s,1.0012515644555695,%,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Peak horizontal velocity,0.8785170977001137,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,RMS horizontal velocity,0.40047376132838686,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Peak absolute X velocity,0.655990838945133,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Peak absolute Y velocity,0.7422720931636917,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Maximum absolute pitch rate,2.9514129278652828,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,P99 absolute pitch rate,1.7806648980735853,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,P99 absolute yaw rate,252.01794667898983,degrees/s,1708,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Minimum roll angle,-7.744519566654296,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Maximum roll angle,10.718854162901607,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Peak absolute roll angle,10.718854162901607,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Minimum relative pitch angle,-10.169216777925444,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Maximum relative pitch angle,8.244079350326045,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Maximum absolute pitch angle,10.669538671778389,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Maximum absolute yaw excursion,9.172049472185682,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Yaw range,12.04676059476968,degrees,2401,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Median horizontal velocity,0.36753716615737475,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,P95 horizontal velocity,0.6020243461248009,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-21-56.bag,raw_flight_4,36.97,56.97,20.0,Percentage of time with horizontal velocity below 0.1 m/s,0.3334722801167153,%,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
